,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
557,MATH 180,001,The Art of Mathematics,12/5/2019,14:00,GYM,Fieldhouse,1-8,AAA,ZZZ
558,MATH 203,001,Principles of Statistics 1,12/6/2019,14:00,GYM,Fieldhouse,1-15,AAA,ZZZ
559,MATH 203,002,Principles of Statistics 1,12/6/2019,14:00,GYM,Fieldhouse,1-15,AAA,ZZZ
560,MATH 208,001,Intro to Statistical Computing,12/6/2019,9:00,GYM,main gym,24-28,AAA,ZZZ
561,MATH 222,001,Calculus 3,12/12/2019,18:30,GYM,Fieldhouse,1-17,AAA,ZZZ
562,MATH 222,002,Calculus 3,12/12/2019,18:30,GYM,Fieldhouse,1-17,AAA,ZZZ
563,MATH 223,001,Linear Algebra,12/10/2019,14:00,GYM,Fieldhouse,36-46,AAA,ZZZ
564,MATH 223,002,Linear Algebra,12/10/2019,14:00,GYM,Fieldhouse,36-46,AAA,ZZZ
565,MATH 228,001,Classical Geometry,12/18/2019,9:00,GYM,main gym,30-32,AAA,ZZZ
566,MATH 235,001,Algebra 1,12/13/2019,14:00,GYM,Fieldhouse,1-14,AAA,ZZZ
567,MATH 240,001,Discrete Structures,12/19/2019,14:00,GYM,Fieldhouse,7-22,AAA,ZZZ
568,MATH 240,002,Discrete Structures,12/19/2019,14:00,GYM,Fieldhouse,7-22,AAA,ZZZ
569,MATH 242,001,Analysis 1,12/19/2019,14:00,GYM,Fieldhouse,29-35,AAA,ZZZ
570,MATH 248,001,Honours Vector Calculus,12/5/2019,9:00,GYM,Fieldhouse,36-38,AAA,ZZZ
571,MATH 254,001,Honours Analysis 1,12/10/2019,18:30,GYM,main gym,14-23,AAA,ZZZ
572,MATH 262,001,Intermediate Calculus,12/10/2019,14:00,GYM,main gym,5-39,AAA,ZZZ
573,MATH 262,002,Intermediate Calculus,12/10/2019,14:00,GYM,main gym,5-39,AAA,ZZZ
574,MATH 262,003,Intermediate Calculus,12/10/2019,14:00,GYM,main gym,5-39,AAA,ZZZ
575,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
576,MATH 263,001,ODEs for Engineers,12/18/2019,14:00,GYM,Fieldhouse,30-43,AAA,ZZZ
577,MATH 263,002,ODEs for Engineers,12/18/2019,14:00,GYM,Fieldhouse,30-43,AAA,ZZZ
